"SEX","AGE","P","E","N"
1,29,18.6666666666667,21.3333333333333,22
2,17,21.3333333333333,19,30
1,66,12.6666666666667,25.3333333333333,10.6666666666667
2,24,19.3333333333333,23,9.66666666666667
1,17,20.6666666666667,22.3333333333333,15
2,17,22.3333333333333,22,12
1,46,21.6666666666667,14.3333333333333,26.3333333333333
1,24,15.3333333333333,23.6666666666667,2.33333333333333
2,24,14.3333333333333,17.6666666666667,11
1,38,18.3333333333333,27.3333333333333,12.6666666666667
1,34,25.3333333333333,28.3333333333333,6.66666666666667
1,34,12.6666666666667,19.3333333333333,2.66666666666667
2,64,14.6666666666667,11.6666666666667,12.6666666666667
2,52,19.6666666666667,20,11
2,26,21.3333333333333,22.3333333333333,22
2,55,16.6666666666667,14,30.6666666666667
2,38,19.6666666666667,19.6666666666667,23
2,38,20.6666666666667,34,3.33333333333333
1,41,22.6666666666667,20.6666666666667,11.3333333333333
1,38,16.6666666666667,25.3333333333333,13.3333333333333
2,42,15,14.6666666666667,20.6666666666667
1,57,14.6666666666667,21,10.6666666666667
1,47,19.3333333333333,27.6666666666667,7.66666666666667
2,44,17.6666666666667,28,5
1,63,16.6666666666667,25.3333333333333,21.6666666666667
2,17,26,21.3333333333333,26.6666666666667
2,63,8,25.3333333333333,6
1,51,25.3333333333333,23.3333333333333,2
2,63,21.6666666666667,27.3333333333333,6
1,61,17.3333333333333,18,8.33333333333333
2,56,31,18.6666666666667,7.66666666666667
1,44,15,16.3333333333333,13
2,33,20.3333333333333,11,23
2,61,10.3333333333333,29.6666666666667,5.33333333333333
1,59,6,18.6666666666667,23
2,39,11.6666666666667,12.6666666666667,23
1,25,20.6666666666667,28.3333333333333,3.33333333333333
2,66,14,28.6666666666667,10.6666666666667
2,46,19.6666666666667,17.6666666666667,5.66666666666667
2,44,19.3333333333333,17.3333333333333,26.6666666666667
2,34,23.6666666666667,27.6666666666667,24.6666666666667
2,17,22.6666666666667,23.6666666666667,27.6666666666667
2,51,15,32.3333333333333,4
1,16,32,23.6666666666667,20.6666666666667
1,60,26,26.6666666666667,6.66666666666667
2,42,12,25.6666666666667,13.3333333333333
1,72,10,21.3333333333333,7.33333333333333
2,31,19.3333333333333,5.66666666666667,34.3333333333333
2,65,13,19.3333333333333,23.6666666666667
1,26,21.6666666666667,20.3333333333333,15.3333333333333
1,62,18.3333333333333,15,3.33333333333333
2,19,21,31.3333333333333,6.66666666666667
2,66,22.3333333333333,28,8.66666666666667
2,26,16.3333333333333,20,20
1,43,16.6666666666667,20.3333333333333,3.66666666666667
2,57,15.3333333333333,28.3333333333333,13.3333333333333
1,60,18,13.3333333333333,6.66666666666667
1,65,15,16.6666666666667,6.66666666666667
1,78,9.66666666666667,20,8.33333333333333
1,61,11.6666666666667,14.3333333333333,10.3333333333333
1,34,3.33333333333333,25,17.6666666666667
2,81,12.3333333333333,12.6666666666667,25.3333333333333
1,30,23,31.6666666666667,2.66666666666667
2,27,16.3333333333333,25.6666666666667,7.33333333333333
2,38,13.6666666666667,22.3333333333333,7.33333333333333
1,39,20.3333333333333,18.3333333333333,25
2,37,16.6666666666667,15.3333333333333,6.33333333333333
1,71,13,27,9.66666666666667
2,41,10.6666666666667,19.6666666666667,8
1,73,20,26.6666666666667,12.6666666666667
2,37,12.6666666666667,18,25.6666666666667
2,70,10,25.6666666666667,6.66666666666667
2,47,18.6666666666667,19.3333333333333,19
1,25,22,11.3333333333333,34.6666666666667
1,47,26.6666666666667,24.6666666666667,10.6666666666667
1,37,24,32.3333333333333,6.33333333333333
2,48,18.6666666666667,21.3333333333333,13.3333333333333
2,20,20.6666666666667,18.3333333333333,30
2,29,9.33333333333333,14,32
